YEAR,Week No,DRESHEX1,ESTEX,FLOWSTH,GM+ SNOW5A,HARSPNBLY,NKILGRMO,SCOTEX,SEIMPPR2,SSE+GRM,SSEN-S,SSE-SP2,SSHARN3
2026,14,7708,7005,10493,2514,6356,1769,5016,5363,1935,1923,1947,7256
2026,15,6118,6907,10149,2514,6356,1633,1800,5086,2032,2000,2000,7429
2026,16,6118,5972,10493,2514,6356,1451,5016,5086,1742,1538,1655,7429
2026,17,5900,5550,10200,2200,4900,1700,5016,6350,1838,1600,2000,5700
2026,18,5700,5400,10300,1500,4850,1600,4100,3750,1700,1600,2000,7550
2026,19,5950,5400,10300,1700,4600,1780,3870,3000,2000,1600,2080,6650
2026,20,5900,5400,10250,1800,4500,1800,3300,5300,1800,1870,2000,5900
2026,21,5814,5151,10252,1665,5642,1361,4013,4567,1742,1635,1849,7394
2026,22,5342,5249,9358,1760,4632,1451,4459,4567,1548,1635,1849,7394
2026,23,5172,5249,9495,1916,4284,1497,4793,4394,1838,1538,1655,7048
2026,24,5172,5479,9564,1916,5503,1497,4124,4394,1838,1538,1655,6841
2026,25,5342,5479,10665,2199,5921,1497,4459,4360,1838,1538,1655,7463
2026,26,5443,5479,10493,2199,5921,1542,4459,4429,1838,1635,1849,7152
2026,27,5172,5413,10811,2050,5564,1451,4459,3815,1645,1635,1947,7256
2026,28,5172,5413,10811,2074,5486,1451,4459,3815,1645,961,973,6867
2026,29,4488,5413,10811,2144,5486,1451,4459,3815,1645,1442,1557,6841
2026,30,5121,5413,10811,1673,5486,1451,4459,3529,1645,1538,1655,7100
2026,31,5248,5413,10811,1579,5486,1451,3678,3503,1645,1538,1655,7230
2026,32,5248,5413,10811,1673,5486,1451,4570,3685,1645,961,973,7100
2026,33,5248,5832,10811,2144,5930,1451,4570,3970,1645,1538,1655,6064
2026,34,5248,5832,10811,2144,4650,1451,4124,3970,1645,1538,1655,6427
2026,35,5400,5832,11095,2474,4963,1451,4124,4853,1645,961,973,6530
2026,36,5552,6029,11121,2639,5512,1451,4347,5060,1548,1635,1849,6945
2026,37,5603,6152,11121,2639,6269,1451,4347,5372,1645,961,973,8163
2026,38,5603,6152,11069,1956,6060,1451,4124,5372,1645,961,973,7774
2026,39,5603,6152,11069,2474,6060,1451,3678,5372,1645,961,973,7774
2026,40,5603,6152,11069,3016,6531,1451,4347,5372,1645,961,973,7774
2026,41,5350,5979,10450,2804,6531,1451,5127,4749,1645,961,973,7385
2026,42,5350,5979,10450,3016,6531,1814,5127,4749,2225,1635,1849,7619
2026,43,5350,5856,11121,3040,5982,1814,4905,4749,2225,1635,1849,8137
2026,44,7175,6422,11121,2710,6348,1814,4124,5346,2225,961,973,7696
2026,45,7175,6299,11121,2710,6348,1814,4124,5787,2225,1635,1849,7800
2026,46,7048,6275,11121,2663,6296,1724,4124,5787,2225,1635,1849,8137
2026,47,6972,6275,10785,2592,6348,1633,4905,6254,1935,1635,1655,8137
2026,48,6516,6275,10863,2403,5146,1497,5239,5735,2032,2308,1655,8189
2026,49,7454,5684,11172,2545,5251,1860,5350,5943,2080,2019,1022,8358
2026,50,7454,5684,11172,2474,5251,2041,5796,5943,2322,2019,1849,8047
2026,51,7454,5709,11172,2733,5251,2041,5796,6488,2322,2019,1849,8047
2026,52,7493,6619,11172,2851,6452,2041,5796,6488,2322,2019,2823,8435
2027,1,7538,6956,11009,2733,6931,2041,5796,6540,2322,2019,1947,8171
2027,2,7538,6857,10665,2764,6931,2041,6131,6540,2322,2019,1947,8171
2027,3,7538,6956,10114,2764,6931,2041,6131,6505,2322,2019,1947,8171
2027,4,7538,6365,10114,2764,6931,2041,6465,6470,2322,2019,2823,8171
2027,5,6896,6299,10287,2764,6931,2041,6800,6470,2322,2019,2823,8103
2027,6,7471,6464,10252,2764,6931,2041,6800,6124,2322,2019,2823,8103
2027,7,7471,6956,10527,2764,6931,2041,6131,5571,2322,1923,2628,8171
2027,8,7538,6956,11112,2764,6931,2041,6131,6159,2322,1923,2628,8171
2027,9,7200,6775,10596,2231,6095,2041,5796,5640,2322,1923,2628,7740
2027,10,7200,6775,9874,2451,6095,1905,5796,5883,2225,1731,1655,7670
2027,11,7200,6775,9874,2419,6095,1905,5573,6262,2225,1731,1606,7670
2027,12,7200,6332,10596,2419,6095,1905,5573,6262,1935,1731,1606,7670
2027,13,7167,6332,10734,2419,6095,1905,5350,5847,1935,2211,2142,7843
2027,14,7708,7005,10493,2514,6356,1769,5016,5363,1935,1923,1947,7256
2027,15,6118,6907,10149,2514,6356,1633,1800,5086,2032,2000,2000,7429
2027,16,6118,5972,10493,2514,6356,1451,5016,5086,1742,1538,1655,7429
2027,17,5900,5550,10200,2200,4900,1700,5016,6350,1838,1600,2000,5700
2027,18,5700,5400,10300,1500,4850,1600,4100,3750,1700,1600,2000,7550
2027,19,5950,5400,10300,1700,4600,1780,3870,3000,2000,1600,2080,6650
2027,20,5900,5400,10250,1800,4500,1800,3300,5300,1800,1870,2000,5900
2027,21,5814,5151,10252,1665,5642,1361,4013,4567,1742,1635,1849,7394
2027,22,5342,5249,9358,1760,4632,1451,4459,4567,1548,1635,1849,7394
2027,23,5172,5249,9495,1916,4284,1497,4793,4394,1838,1538,1655,7048
2027,24,5172,5479,9564,1916,5503,1497,4124,4394,1838,1538,1655,6841
2027,25,5342,5479,10665,2199,5921,1497,4459,4360,1838,1538,1655,7463
2027,26,5443,5479,10493,2199,5921,1542,4459,4429,1838,1635,1849,7152
2027,27,5172,5413,10811,2050,5564,1451,4459,3815,1645,1635,1947,7256
2027,28,5172,5413,10811,2074,5486,1451,4459,3815,1645,961,973,6867
2027,29,4488,5413,10811,2144,5486,1451,4459,3815,1645,1442,1557,6841
2027,30,5121,5413,10811,1673,5486,1451,4459,3529,1645,1538,1655,7100
2027,31,5248,5413,10811,1579,5486,1451,3678,3503,1645,1538,1655,7230
2027,32,5248,5413,10811,1673,5486,1451,4570,3685,1645,961,973,7100
2027,33,5248,5832,10811,2144,5930,1451,4570,3970,1645,1538,1655,6064
2027,34,5248,5832,10811,2144,4650,1451,4124,3970,1645,1538,1655,6427
