settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,primary_dispatch_block_reason,dispatch_minus_lost_energy_gap_mwh
2024-10-01,T_TKNWW-1,TKNWW-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,19,0.0,8298.5,84.686,physical_below_generation,8213.814
2024-10-01,T_HOWBO-1,HOWBO-1,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,13,0.0,8256.5,283.843,physical_below_generation,7972.657
2024-10-01,T_TKNEW-1,TKNEW-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,3,0.0,7753.5,86.60699999999999,physical_below_generation,7666.893
2024-10-01,T_HOWBO-2,HOWBO-2,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,42,0.0,8357.0,836.02,physical_below_generation,7520.98
2024-10-01,T_EAAO-2,EAAO-2,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,48,9,0.0,7463.0,370.50300000000004,physical_below_generation,7092.497
2024-10-01,T_HOWBO-3,HOWBO-3,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,4,0.0,6952.25,30.18000000000002,physical_below_generation,6922.07
2024-10-01,T_HOWAO-3,HOWAO-3,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,9,0.0,7019.75,116.53699999999996,physical_below_generation,6903.213
2024-10-01,T_HOWAO-2,HOWAO-2,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,16,0.0,7144.25,273.828,physical_below_generation,6870.4220000000005
2024-10-01,T_HOWAO-1,HOWAO-1,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,26,0.0,7111.0,445.56899999999996,physical_below_generation,6665.4310000000005
2024-10-01,T_WLNYO-3,WLNYO-3,,,,unmapped,48,0,0.0,6001.25,0.0,outage,6001.25
2024-10-01,T_RCBKO-1,RCBKO-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,18,2.8166666666666664,5652.25,197.12800000000004,physical_below_generation,5455.122
2024-10-01,T_RCBKO-2,RCBKO-2,humber_offshore,Humber Offshore,England/Wales,mapped,48,17,1.3333333333333333,5465.5,251.902,physical_below_generation,5213.598
2024-10-01,T_WLNYO-4,WLNYO-4,,,,unmapped,48,18,0.0,4041.75,164.39000000000004,physical_below_generation,3877.36
2024-10-01,T_BRBEO-1,BRBEO-1,,,,unmapped,48,27,0.0,3744.75,258.26899999999995,physical_below_generation,3486.481
2024-10-01,T_RMPNO-1,RMPNO-1,,,,unmapped,48,29,0.0,3748.0,269.48699999999997,physical_below_generation,3478.513
2024-10-01,T_WTMSO-1,WTMSO-1,,,,unmapped,48,4,0.0,3330.5,7.3559999999999945,physical_below_generation,3323.1440000000002
2024-10-01,T_MOWWO-1,MOWWO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,0.0,3272.0,0.0,outage,3272.0
2024-10-01,T_RMPNO-2,RMPNO-2,,,,unmapped,48,34,0.0,3507.5,239.40699999999998,physical_below_generation,3268.093
2024-10-01,T_MOWWO-2,MOWWO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,0.0,3020.5,0.0,outage,3020.5
2024-10-01,T_LNCSW-2,LNCSO-2,,,,unmapped,48,8,0.0,3026.5,55.97200000000001,physical_below_generation,2970.528
2024-10-01,T_LARYW-2,LARYO-2,,,,unmapped,48,12,0.0,2928.0,90.123,physical_below_generation,2837.877
2024-10-01,T_LARYW-3,LARYO-3,,,,unmapped,48,13,0.0,2880.0,107.58099999999999,physical_below_generation,2772.419
2024-10-01,T_LARYW-1,LARYO-1,,,,unmapped,48,10,0.0,2823.0,82.84000000000002,physical_below_generation,2740.16
2024-10-01,T_LNCSW-1,LNCSO-1,,,,unmapped,48,15,0.0,2838.25,151.24699999999999,physical_below_generation,2687.003
2024-10-01,T_LARYW-4,LARYO-4,,,,unmapped,48,10,0.0,2715.5,101.231,physical_below_generation,2614.2690000000002
2024-10-01,T_SHRSW-1,SHRSO-1,,,,unmapped,47,15,0.0,2770.0,208.606,physical_below_generation,2561.3940000000002
2024-10-01,T_HMGTO-1,HMGTO-1,,,,unmapped,48,5,0.0,2476.5,10.928999999999995,physical_below_generation,2465.571
2024-10-01,T_HMGTO-2,HMGTO-2,,,,unmapped,48,12,0.0,2447.5,10.404000000000003,physical_below_generation,2437.096
2024-10-01,T_SHRSW-2,SHRSO-2,,,,unmapped,47,16,0.0,2661.0,227.144,physical_below_generation,2433.8559999999998
2024-10-01,T_WLNYO-2,WLNYO-2,,,,unmapped,48,22,0.0,2487.25,223.70999999999998,physical_below_generation,2263.54
2024-10-01,T_MOWEO-3,MOWEO-3,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,0.0,2225.0,0.0,outage,2225.0
2024-10-01,T_WHILW-1,WHILW-1,,,,unmapped,48,20,0.0,2361.5,144.19799999999998,physical_below_generation,2217.302
2024-10-01,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,0.0,2017.0,0.0,outage,2017.0
2024-10-01,T_KLGLW-1,KLGLW-1,,,,unmapped,48,31,0.0,2350.0,339.489,physical_below_generation,2010.511
2024-10-01,T_MOWEO-2,MOWEO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,0.0,1897.5,0.0,outage,1897.5
2024-10-01,T_GRGBW-2,GRGBW-2,,,,unmapped,48,0,0.0,1868.5833333333335,0.0,physical_below_generation,1868.5833333333335
2024-10-01,T_DDGNO-3,DDGNO-3,,,,unmapped,48,13,0.0,1896.5,63.91,physical_below_generation,1832.59
2024-10-01,T_FALGW-1,FALGW-1,,,,unmapped,48,26,0.0,1972.25,157.58,physical_below_generation,1814.67
2024-10-01,T_DDGNO-1,DDGNO-1,,,,unmapped,48,13,0.0,1858.5,66.83699999999999,physical_below_generation,1791.663
2024-10-01,T_GANW-22,GAOFO-2,,,,unmapped,48,12,0.0,1686.5,48.28999999999999,physical_below_generation,1638.21
2024-10-01,T_GANW-13,GAOFO-3,,,,unmapped,48,9,0.0,1674.0,41.449999999999996,physical_below_generation,1632.55
2024-10-01,T_GANW-11,GAOFO-1,,,,unmapped,48,8,0.0,1673.0,43.30499999999999,physical_below_generation,1629.695
2024-10-01,T_GANW-24,GAOFO-4,,,,unmapped,48,19,0.0,1677.5,50.690000000000005,physical_below_generation,1626.81
2024-10-01,T_DDGNO-4,DDGNO-4,,,,unmapped,48,4,0.0,1648.0,36.788,physical_below_generation,1611.212
2024-10-01,T_GRGBW-1,GRGBW-1,,,,unmapped,48,20,0.0,1633.1916666666666,35.63499999999999,physical_below_generation,1597.5566666666666
2024-10-01,T_GNFSW-1,GNFSW-1,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,48,21,2.8166666666666664,1728.25,191.82999999999998,physical_below_generation,1536.42
2024-10-01,T_GYMR-15,GYMRO-15,north_wales_offshore,North Wales Offshore,England/Wales,mapped,48,42,0.0,1896.5,395.39,physical_below_generation,1501.1100000000001
2024-10-01,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,48,6,16.916666666666668,1548.4666666666667,112.39599999999999,physical_below_generation,1436.0706666666667
2024-10-01,T_CRYRW-2,CRYRW-2,,,,unmapped,48,17,0.0,1581.0,167.788,physical_below_generation,1413.212
2024-10-01,T_WDNSO-1,WDNSO-1,,,,unmapped,48,24,0.0,1488.0,161.144,physical_below_generation,1326.856
2024-10-01,T_WDNSO-2,WDNSO-2,,,,unmapped,48,24,0.0,1488.0,214.32399999999998,physical_below_generation,1273.676
2024-10-01,T_DDGNO-2,DDGNO-2,,,,unmapped,48,5,0.0,1304.5,42.499,physical_below_generation,1262.001
2024-10-01,T_WLNYW-1,WLNYW-1,,,,unmapped,48,19,0.0,1340.25,109.15,physical_below_generation,1231.1
2024-10-01,T_WHILW-2,WHILW-2,,,,unmapped,48,28,0.0,1442.0,212.60999999999999,physical_below_generation,1229.39
2024-10-01,T_GYMR-17,GYMRO-17,north_wales_offshore,North Wales Offshore,England/Wales,mapped,48,44,0.0,1569.0,354.75,physical_below_generation,1214.25
2024-10-01,T_AKGLW-3,AKGLW-3,,,,unmapped,48,42,0.0,1422.0,244.96900000000002,physical_below_generation,1177.031
2024-10-01,T_HRSTW-1,HRSTW-1,,,,unmapped,48,36,0.0,1453.0,367.52,physical_below_generation,1085.48
2024-10-01,T_THNTO-1,THNTO-1,,,,unmapped,48,6,0.0,1092.25,20.515,physical_below_generation,1071.735
2024-10-01,T_THNTO-2,THNTO-2,,,,unmapped,48,6,0.0,1092.25,20.679000000000002,physical_below_generation,1071.571
2024-10-01,E_BURBO,BURBW-1,,,,unmapped,48,23,0.0,1184.0,115.08500000000001,physical_below_generation,1068.915
2024-10-01,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,48,4,30.900000000000002,1102.0,46.079999999999984,physical_below_generation,1055.92
2024-10-01,T_AKGLW-2,AKGLW-2,,,,unmapped,48,0,0.0,1023.25,0.0,physical_below_generation,1023.25
2024-10-01,T_SOKYW-1,SOKYW-1,,,,unmapped,48,0,0.0,974.25,0.0,physical_below_generation,974.25
2024-10-01,T_GNFSW-2,GNFSW-2,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,48,16,1.6,1082.5,114.441,physical_below_generation,968.059
2024-10-01,T_GYMR-26,GYMRO-26,north_wales_offshore,North Wales Offshore,England/Wales,mapped,48,45,0.0,1219.0,256.54999999999995,physical_below_generation,962.45
2024-10-01,T_GYMR-28,GYMRO-28,north_wales_offshore,North Wales Offshore,England/Wales,mapped,48,0,0.0,871.0,0.0,outage,871.0
2024-10-01,T_RREW-1,RREW-1,,,,unmapped,48,37,0.0,1068.0,264.35400000000004,physical_inconsistent,803.646
2024-10-01,E_KINCW-1,KINCW-1,,,,unmapped,48,46,0.0,971.25,174.262,physical_below_generation,796.988
2024-10-01,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,48,4,3.316666666666667,775.0,25.79,physical_below_generation,749.21
2024-10-01,T_RRWW-1,RRWW-1,,,,unmapped,48,42,0.0,1060.5,321.62899999999996,physical_below_generation,738.8710000000001
2024-10-01,T_WISTW-2,WISTW-2,,,,unmapped,48,32,0.0,833.75,181.14999999999998,physical_below_generation,652.6
2024-10-01,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,48,28,3.1333333333333333,1123.1833333333334,487.853,physical_below_generation,635.3303333333333
2024-10-01,T_KPMRW-1,KPMRW-1,,,,unmapped,48,27,0.0,690.25,65.14,physical_below_generation,625.11
2024-10-01,T_BEINW-1,BEINW-1,,,,unmapped,48,29,0.0,725.5,111.14500000000001,physical_below_generation,614.355
2024-10-01,T_KENNW-1,KENNW-1,,,,unmapped,48,45,0.0,808.75,201.205,physical_below_generation,607.545
2024-10-01,T_BLKWW-1,BLKWW-1,,,,unmapped,48,28,0.0,689.25,99.181,physical_below_generation,590.069
2024-10-01,T_BLLA-1,BLLA-1,,,,unmapped,48,33,0.0,718.0,128.488,physical_below_generation,589.512
2024-10-01,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,48,28,6.783333333333332,1615.15,1041.4893333333334,physical_below_generation,573.6606666666667
2024-10-01,T_MIDMW-1,MIDMW-1,,,,unmapped,48,29,0.0,591.0,72.45100000000001,physical_below_generation,518.549
2024-10-01,T_BLLA-2,BLLA-2,,,,unmapped,48,32,0.0,574.5,78.52799999999999,physical_below_generation,495.972
2024-10-01,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,48,22,10.233333333333334,1496.6333333333332,1022.3513333333333,physical_below_generation,474.2819999999999
2024-10-01,E_HBHDW-1,HBHDW-1,,,,unmapped,48,38,0.0,540.0,92.345,physical_below_generation,447.655
2024-10-01,T_OMNDW-1,OMNDO-1,,,,unmapped,48,4,0.0,437.25,5.58,physical_below_generation,431.67
2024-10-01,T_WDRGW-1,WDRGW-1,,,,unmapped,48,18,0.0,488.75,59.942,physical_below_generation,428.808
2024-10-01,T_KYPEW-1,KYPEW-1,,,,unmapped,32,14,0.0,458.25,31.070999999999998,physical_below_generation,427.179
2024-10-01,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,48,23,4.15,794.7416666666666,389.7056666666666,physical_below_generation,405.03599999999994
2024-10-01,T_ABRBO-1,ABRBO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,48,0,0.0,404.75,0.0,physical_below_generation,404.75
2024-10-01,T_TWSHW-1,TWSHW-1,,,,unmapped,48,41,0.0,552.75,150.84699999999998,physical_below_generation,401.903
2024-10-01,T_MILWW-1,MILWW-1,,,,unmapped,48,31,0.0,571.25,177.64999999999998,physical_below_generation,393.6
2024-10-01,E_GRGRW-1,GRGRW-1,,,,unmapped,48,38,0.0,491.5,101.66900000000001,physical_below_generation,389.831
2024-10-01,T_SANQW-1,SANQW-1,,,,unmapped,48,33,0.0,429.75,48.346999999999994,physical_below_generation,381.403
2024-10-01,T_BOWLW-1,BOWLW-1,,,,unmapped,48,29,0.0,441.0,67.544,physical_below_generation,373.456
