settlement_date,lost_energy_block_reason,dispatch_half_hour_count,distinct_bmu_count,accepted_down_delta_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,share_of_dispatch_rows,share_of_dispatch_down_mwh_lower_bound
2024-10-01,physical_below_generation,4002,147,75.68333333333334,119897.0,0.0,0.545975443383356,0.5265550038122028
2024-10-01,estimated,2919,139,13.25,85639.80833333333,17497.059506974638,0.39822646657571625,0.3761067383123402
2024-10-01,outage,360,8,0.0,19568.25,0.0,0.04911323328785812,0.0859384300970678
2024-10-01,physical_inconsistent,49,17,0.0,2595.75,0.0,0.0066848567530695775,0.011399827778389162
2024-10-02,physical_below_generation,3752,145,22.166666666666664,120623.69166666667,0.0,0.5399338034249532,0.6322924034845958
2024-10-02,estimated,2819,139,4.466666666666667,62419.066666666666,11396.225774576485,0.40566988055835373,0.3271919565767881
2024-10-02,outage,313,7,0.0,6156.25,0.0,0.04504245215138869,0.03227019547460688
2024-10-02,physical_inconsistent,65,13,0.0,1573.0,0.0,0.00935386386530436,0.008245444464009198
2024-10-03,estimated,2889,135,0.0,37863.191666666666,11274.314829448063,0.4186349804376177,0.45715908513508013
2024-10-03,physical_below_generation,3681,144,5.633333333333333,36067.85,0.0,0.5334009563831329,0.4354821815854835
2024-10-03,outage,290,7,18.95,8335.25,0.0,0.04202289523257499,0.1006395683152836
2024-10-03,physical_inconsistent,41,14,0.0,556.5,0.0,0.005941167946674395,0.006719164964152883
2024-10-04,physical_below_generation,3709,141,12.233333333333334,53844.24166666667,0.0,0.51435307169602,0.4060446288382218
2024-10-04,estimated,3090,142,35.96666666666667,49817.71666666667,15583.649806974638,0.4285119955623353,0.37568021477043173
2024-10-04,outage,353,9,24.016666666666666,27816.5,0.0,0.04895298848980724,0.209766914129847
2024-10-04,physical_inconsistent,59,23,0.0,1128.25,0.0,0.008181944251837471,0.008508242261499465
2024-10-05,estimated,3456,143,35.583333333333336,79017.91666666666,27632.865666666665,0.4595744680851064,0.4388293705952597
2024-10-05,physical_below_generation,3604,147,51.21666666666667,78096.325,0.0,0.47925531914893615,0.43371127196536036
2024-10-05,outage,394,9,16.116666666666667,21715.5,0.0,0.052393617021276595,0.12059795549103987
2024-10-05,physical_inconsistent,66,23,1.7333333333333334,1235.5,0.0,0.008776595744680852,0.006861401948340114
2024-10-06,physical_below_generation,3757,145,26.583333333333336,103735.125,0.0,0.49960106382978725,0.44984973948339
2024-10-06,estimated,3300,141,4.933333333333334,99435.875,26110.483856428575,0.43882978723404253,0.4312059436382126
2024-10-06,outage,432,9,1.7666666666666668,25846.5,0.0,0.0574468085106383,0.11208393773620498
2024-10-06,physical_inconsistent,31,16,0.0,1582.0,0.0,0.004122340425531915,0.006860379142192416
2024-10-07,physical_below_generation,2950,145,4.15,55400.95,0.0,0.43350477590007347,0.4146954105707341
2024-10-07,estimated,3392,145,1.4666666666666666,54337.98333333333,13952.997511914986,0.49845701689933875,0.4067387347690315
2024-10-07,outage,420,10,8.833333333333334,22854.38333333333,0.0,0.06171932402645114,0.17107302094562657
2024-10-07,physical_inconsistent,43,17,0.0,1001.0,0.0,0.006318883174136664,0.00749283371460787
