settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-01,T_TKNEW-1,TKNEW-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,3,45,0.0,7753.5,501.0,7252.5,0.0,0.0,7252.5,0.0,86.60699999999999,partially_blocked,physical_below_generation
2024-10-01,T_EAAO-2,EAAO-2,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,48,9,39,0.0,7463.0,898.5,6564.5,0.0,0.0,6564.5,0.0,370.50300000000004,partially_blocked,physical_below_generation
2024-10-01,T_HOWBO-3,HOWBO-3,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,4,44,0.0,6952.25,403.75,6548.5,0.0,0.0,6548.5,0.0,30.18000000000002,partially_blocked,physical_below_generation
2024-10-01,T_WLNYO-3,WLNYO-3,,,,unmapped,48,0,48,0.0,6001.25,0.0,6001.25,6001.25,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-01,T_HOWBO-1,HOWBO-1,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,13,35,0.0,8256.5,2330.25,5926.25,0.0,0.0,5926.25,0.0,283.843,partially_blocked,physical_below_generation
2024-10-01,T_HOWAO-3,HOWAO-3,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,9,39,0.0,7019.75,1523.5,5496.25,0.0,0.0,5146.0,350.25,116.53699999999996,partially_blocked,physical_below_generation
2024-10-01,T_HOWAO-2,HOWAO-2,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,16,32,0.0,7144.25,2379.5,4764.75,0.0,0.0,4408.25,356.5,273.828,partially_blocked,physical_below_generation
2024-10-01,T_TKNWW-1,TKNWW-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,19,29,0.0,8298.5,3821.5,4477.0,0.0,0.0,4477.0,0.0,84.686,partially_blocked,physical_below_generation
2024-10-01,T_RCBKO-2,RCBKO-2,humber_offshore,Humber Offshore,England/Wales,mapped,48,17,31,1.3333333333333333,5464.166666666666,1864.25,3601.25,0.0,0.0,3601.25,0.0,251.902,partially_blocked,physical_below_generation
2024-10-01,T_RCBKO-1,RCBKO-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,18,30,2.8166666666666664,5649.433333333333,2140.25,3512.0,0.0,0.0,3512.0,0.0,197.12800000000004,partially_blocked,physical_below_generation
2024-10-01,T_MOWWO-1,MOWWO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,48,0.0,3272.0,0.0,3272.0,3272.0,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-01,T_HOWAO-1,HOWAO-1,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,26,22,0.0,7111.0,3906.75,3204.25,0.0,0.0,3024.0,180.25,445.56899999999996,partially_blocked,physical_below_generation
2024-10-01,T_WTMSO-1,WTMSO-1,,,,unmapped,48,4,44,0.0,3330.5,282.0,3048.5,0.0,0.0,3048.5,0.0,7.3559999999999945,partially_blocked,physical_below_generation
2024-10-01,T_MOWWO-2,MOWWO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,48,0.0,3020.5,0.0,3020.5,3020.5,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-01,T_LNCSW-2,LNCSO-2,,,,unmapped,48,8,40,0.0,3026.5,449.5,2577.0,0.0,0.0,2577.0,0.0,55.97200000000001,partially_blocked,physical_below_generation
2024-10-01,T_WLNYO-4,WLNYO-4,,,,unmapped,48,18,30,0.0,4041.75,1493.5,2548.25,0.0,0.0,2548.25,0.0,164.39000000000004,partially_blocked,physical_below_generation
2024-10-01,T_LARYW-1,LARYO-1,,,,unmapped,48,10,38,0.0,2823.0,409.5,2413.5,0.0,0.0,2182.5,231.0,82.84000000000002,partially_blocked,physical_below_generation
2024-10-01,T_LARYW-4,LARYO-4,,,,unmapped,48,10,38,0.0,2715.5,336.5,2379.0,0.0,0.0,2149.5,229.5,101.231,partially_blocked,physical_below_generation
