settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,lost_energy_mwh,primary_dispatch_block_reason,dispatch_minus_lost_energy_gap_mwh
2024-10-01,T_GNFSW-2,GNFSW-2,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,3,3,1.6,7.465200000000003,,-5.865200000000003
2024-10-01,T_RCBKO-2,RCBKO-2,humber_offshore,Humber Offshore,England/Wales,mapped,1,1,1.3333333333333333,13.659000000000006,,-12.325666666666672
2024-10-01,T_GNFSW-1,GNFSW-1,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,3,3,2.8166666666666664,15.656000000000006,,-12.83933333333334
2024-10-01,T_RCBKO-1,RCBKO-1,humber_offshore,Humber Offshore,England/Wales,mapped,1,1,2.8166666666666664,30.251000000000005,,-27.43433333333334
2024-10-01,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,4,4,3.1333333333333337,57.131,,-53.99766666666667
2024-10-01,T_CLDNW-1,CLDNW-1,,,Scotland,region_only,2,2,3.5166666666666666,61.99809999999998,,-58.481433333333314
2024-10-01,T_CLDCW-1,CLDCW-1,,,Scotland,region_only,2,2,1.4166666666666665,64.12079999999999,,-62.704133333333324
2024-10-01,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,5,5,10.233333333333333,98.90350000000004,,-88.6701666666667
2024-10-01,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,5,5,4.15,101.14599999999999,,-96.99599999999998
2024-10-01,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,2,2,3.316666666666667,129.65899999999996,,-126.3423333333333
2024-10-01,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,4,4,16.916666666666668,152.03664999999995,,-135.1199833333333
2024-10-01,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,6,6,6.783333333333333,177.0923499999997,,-170.30901666666637
2024-10-01,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,6,6,30.900000000000002,243.50414999999995,,-212.60414999999995
2024-10-02,E_BTUIW-3,BTUIW-3,,,,unmapped,1,0,0.36666666666666664,0.0,physical_below_generation,0.36666666666666664
2024-10-02,T_SHRSW-1,SHRSO-1,,,,unmapped,2,1,5.8999999999999995,8.308999999999997,physical_below_generation,-2.408999999999998
2024-10-02,T_KYPEW-1,KYPEW-1,,,,unmapped,1,1,0.5333333333333333,3.8,,-3.2666666666666666
2024-10-02,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0.13333333333333333,9.886449999999996,,-9.753116666666664
2024-10-02,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0.18333333333333332,17.905350000000002,,-17.72201666666667
2024-10-02,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,10.266666666666666,39.8655,,-29.59883333333333
2024-10-02,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,7.216666666666668,39.935599999999994,,-32.718933333333325
2024-10-02,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,1,1,2.033333333333333,73.95199999999998,,-71.91866666666665
2024-10-03,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,6,0,11.466666666666667,0.0,outage,11.466666666666667
2024-10-03,T_MOWEO-3,MOWEO-3,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,4,0,4.833333333333334,0.0,outage,4.833333333333334
2024-10-03,T_MOWEO-2,MOWEO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,3,0,2.65,0.0,outage,2.65
2024-10-03,T_GORDW-2,GORDW-2,,,,unmapped,1,0,0.16666666666666666,0.0,physical_below_generation,0.16666666666666666
2024-10-03,T_VKNGW-2,VKNGW-2,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0.2,12.164799999999996,,-11.964799999999997
2024-10-03,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0.4,15.373449999999998,,-14.973449999999998
2024-10-03,T_VKNGW-1,VKNGW-1,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0.3,17.10605,,-16.80605
2024-10-03,T_VKNGW-4,VKNGW-4,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0.18333333333333332,17.653400000000005,,-17.47006666666667
2024-10-03,T_VKNGW-3,VKNGW-3,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0.21666666666666667,19.577200000000005,,-19.36053333333334
2024-10-03,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0.35,20.666999999999998,,-20.316999999999997
2024-10-03,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0.5333333333333333,21.010599999999997,,-20.47726666666666
