settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-01,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,7,7,0,30.900000000000002,172.5,203.39999999999998,0.0,0.0,0.0,0.0,0.0,256.16125000000005,fully_estimated,
2024-10-01,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,7,7,0,16.916666666666668,417.5,434.41666666666663,0.0,0.0,0.0,0.0,0.0,251.4534,fully_estimated,
2024-10-01,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,10,10,0,10.233333333333333,375.5,385.7333333333333,0.0,0.0,0.0,0.0,0.0,320.9938000000001,fully_estimated,
2024-10-01,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,16,16,0,6.783333333333333,652.2083333333333,658.9916666666667,0.0,0.0,0.0,0.0,0.0,418.90791013364617,fully_estimated,
2024-10-01,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,11,11,0,4.1499999999999995,325.90000000000003,330.05,0.0,0.0,0.0,0.0,0.0,254.57799999999997,fully_estimated,
2024-10-01,T_CLDNW-1,CLDNW-1,,,Scotland,region_only,2,2,0,3.5166666666666666,0.0,3.5166666666666666,0.0,0.0,0.0,0.0,0.0,61.99809999999998,fully_estimated,
2024-10-01,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,4,4,0,3.316666666666667,28.75,32.06666666666666,0.0,0.0,0.0,0.0,0.0,153.32399999999996,fully_estimated,
2024-10-01,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,14,14,0,3.1333333333333337,509.8666666666667,513.0,0.0,0.0,0.0,0.0,0.0,262.886,fully_estimated,
2024-10-01,T_GNFSW-1,GNFSW-1,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,5,5,0,2.8166666666666664,171.11666666666667,173.93333333333334,0.0,0.0,0.0,0.0,0.0,37.86000000000001,fully_estimated,
2024-10-01,T_RCBKO-1,RCBKO-1,humber_offshore,Humber Offshore,England/Wales,mapped,2,2,0,2.8166666666666664,264.68333333333334,267.5,0.0,0.0,0.0,0.0,0.0,30.671999999999997,fully_estimated,
