settlement_date,settlement_period,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,source_key,source_label,target_is_proxy,elexon_bm_unit,national_grid_bm_unit,bm_unit_name,lead_party_name,fuel_type,bm_unit_type,gsp_group_id,gsp_group_name,generation_capacity_mw,mapping_status,mapping_confidence,mapping_rule,cluster_key,cluster_label,parent_region,remit_fetch_ok,remit_event_count,remit_overlap_hours,remit_active_flag,remit_partial_availability_flag,remit_max_available_capacity_mw,remit_max_unavailable_capacity_mw,remit_normal_capacity_mw,latest_remit_publish_time_utc,uou_publish_time_utc,uou_output_usable_mw,availability_state,availability_confidence
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_ASHWW-1,ASHWW-1,Andershaw Wind Farm,Statkraft Markets Gmbh,WIND,E,_N,South Scotland,35.0,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_BABAW-1,BABAW-1,Baillie Wind Farm,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,52.5,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_BETHW-1,BETHW-1,BETHW-1,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,29.75,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_BNWKW-1,BNWKW-1,Burn of Whilk Windfarm,Eneco Energy Trade,WIND,E,_P,North Scotland,22.5,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_BRYBW-1,BRYBW-1,Berry Burn Wind Farm,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,62.708,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_BTUIW-2,BTUIW-2,Beinn An Tuirc 2,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,43.7,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_BTUIW-3,BTUIW-3,Beinn an Tuirc III Windfarm,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,52.0,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_BURBO,BURBW-1,Burbo Offshore Wind,Orsted Burbo (UK) Limited,WIND,E,_D,Merseyside North Wales,90.0,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_CLFLW-1,CLFLW-1,Clachan Flats,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,15.0,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
2024-10-03,1,2024-10-03 00:00:00+01:00,2024-10-03 00:30:00+01:00,2024-10-02 23:00:00+00:00,2024-10-02 23:30:00+00:00,REMIT|UOU2T14D,REMIT outage windows with UOU availability QA,False,E_CNCLW-1,CNCLW-1,Coire Na Cloiche WF,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,30.52,unmapped,none,,,,,True,0,,False,False,,,,,,,available,medium
