settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_down_increment_mwh_lower_bound,family_day_dispatch_down_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-03,T_MOWEO-3,MOWEO-3,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,9,8,1,4.833333333333334,723.8499999999999,121.5,845.3499999999999,849.0,1.1833333333333333,0.0,0.0,1.1833333333333333,0.0,507.046,partially_blocked,physical_below_generation
2024-10-03,T_GORDW-2,GORDW-2,,,,unmapped,2,1,1,0.16666666666666666,5.5,0.0,5.5,5.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,5.506,partially_blocked,physical_below_generation
2024-10-03,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,12,11,1,11.466666666666667,826.6833333333333,86.5,913.1833333333333,924.5,0.15,0.0,0.0,0.15,0.0,588.161,partially_blocked,physical_below_generation
2024-10-03,T_MOWEO-2,MOWEO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,11,11,0,2.65,576.8499999999999,252.5,829.3499999999999,832.0,0.0,0.0,0.0,0.0,0.0,504.65200000000004,fully_estimated,
2024-10-03,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,1.4666666666666668,3.95,0.0,3.95,5.416666666666666,0.0,0.0,0.0,0.0,0.0,39.934000000000005,fully_estimated,
2024-10-03,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,1.2166666666666668,3.0666666666666664,0.0,3.0666666666666664,4.283333333333333,0.0,0.0,0.0,0.0,0.0,29.68466666666667,fully_estimated,
2024-10-03,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,0.6,1.6,0.0,1.6,2.2,0.0,0.0,0.0,0.0,0.0,7.944,fully_estimated,
2024-10-03,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,0.5333333333333333,1.325,0.0,1.325,1.8583333333333332,0.0,0.0,0.0,0.0,0.0,9.104,fully_estimated,
2024-10-03,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,0.4,1.0083333333333333,0.0,1.0083333333333333,1.4083333333333332,0.0,0.0,0.0,0.0,0.0,8.149283333333331,fully_estimated,
2024-10-03,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,0.35,0.9333333333333333,0.0,0.9333333333333333,1.2833333333333334,0.0,0.0,0.0,0.0,0.0,8.377683333333332,fully_estimated,
2024-10-03,T_VKNGW-1,VKNGW-1,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,14.1442,fully_estimated,
2024-10-03,T_VKNGW-3,VKNGW-3,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.21666666666666667,0.0,0.0,0.0,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,14.7212,fully_estimated,
2024-10-03,T_VKNGW-2,VKNGW-2,shetland_wind,Shetland Wind,Scotland,mapped,2,2,0,0.2,0.2583333333333333,0.0,0.2583333333333333,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,5.835183333333332,fully_estimated,
2024-10-03,T_VKNGW-4,VKNGW-4,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.18333333333333332,0.0,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,5.396599999999999,fully_estimated,
