settlement_date,bmu_family_key,bmu_family_label,cluster_key,cluster_label,parent_region,mapping_status,distinct_bmu_count,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_increment_mwh_lower_bound,family_day_dispatch_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_minus_lost_energy_gap_mwh,share_of_day_dispatch_gap,share_of_day_remaining_qa_shortfall,primary_dispatch_block_reason
2024-10-01,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,6,126,0,72.11666666666667,2453.4750000000004,3306.3166666666666,5759.791666666667,5831.908333333333,0.0,5831.908333333333,0.8195861015762149,0.4813394134477825,availability_unknown
2024-10-01,RCBKO,Race Bank,humber_offshore,Humber Offshore,England/Wales,mapped,2,9,0,4.1499999999999995,393.35,591.75,985.1,989.25,0.0,989.25,0.13902405604528034,0.08164823374050842,availability_unknown
2024-10-01,GNFSW,Gunfleet Sands,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,2,9,0,4.416666666666666,253.1,0.0,253.1,257.51666666666665,0.0,257.51666666666665,0.03619005458606059,0.021254264333663474,availability_unknown
2024-10-01,PNYCW,Pen y Cymoedd,,,England/Wales,region_only,1,4,0,3.316666666666667,28.75,0.0,28.75,32.06666666666666,0.0,32.06666666666666,0.004506482753451594,0.002646638054363376,availability_unknown
2024-10-01,CLDNW,Clyde North,,,Scotland,region_only,1,2,0,3.5166666666666666,0.0,0.0,0.0,3.5166666666666666,0.0,3.5166666666666666,0.0004942140649575292,0.0002902498074171894,availability_unknown
2024-10-01,CLDCW,Clyde Central,,,Scotland,region_only,1,2,0,1.4166666666666665,0.0,0.0,0.0,1.4166666666666665,0.0,1.4166666666666665,0.0001990909740350236,0.00011692527786948386,availability_unknown
2024-10-02,SHRSW,Sheirds,,,,unmapped,1,4,0,5.8999999999999995,202.06666666666666,0.0,202.06666666666666,207.96666666666667,0.0,207.96666666666667,0.6007703418391912,0.018708768142017513,availability_unknown
2024-10-02,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,4,5,0,17.8,30.5,0.0,30.5,48.3,0.0,48.3,0.13952816562349543,0.004345088161209067,availability_unknown
2024-10-02,KYPEW,Kype Muir,,,,unmapped,1,5,0,0.5333333333333333,43.46666666666667,0.0,43.46666666666667,44.0,0.0,44.0,0.1271064034665383,0.00395825836631882,availability_unknown
2024-10-02,BTUIW,Beinn Tharsuinn,,,,unmapped,1,5,0,0.36666666666666664,43.5,0.0,43.5,43.86666666666667,0.0,43.86666666666667,0.12672123254694273,0.003946263643996642,availability_unknown
2024-10-02,PNYCW,Pen y Cymoedd,,,England/Wales,region_only,1,1,0,2.033333333333333,0.0,0.0,0.0,2.033333333333333,0.0,2.033333333333333,0.005873856523832451,0.00018291951541321818,availability_unknown
2024-10-03,MOWEO,Moray East,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,3,32,0,18.95,2127.383333333333,460.5,2587.883333333333,2606.8333333333335,0.0,2606.8333333333335,0.9911505546349486,0.34500176460208226,availability_unknown
2024-10-03,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,6,18,0,4.566666666666666,11.883333333333333,0.0,11.883333333333333,16.45,0.0,16.45,0.006254495220412341,0.0021770778189518264,availability_unknown
2024-10-03,GORDW,GORDW,,,,unmapped,1,2,0,0.16666666666666666,5.5,0.0,5.5,5.666666666666667,0.0,5.666666666666667,0.0021545373606283646,0.0007499558849479443,availability_unknown
2024-10-03,VKNGW,Viking,shetland_wind,Shetland Wind,Scotland,mapped,4,5,0,0.9,0.2583333333333333,0.0,0.2583333333333333,1.1583333333333332,0.0,1.1583333333333332,0.000440412784010798,0.00015329980589377093,availability_unknown
2024-10-04,MOWEO,Moray East,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,3,114,0,24.016666666666666,4495.316666666667,6501.0,10996.316666666666,11020.333333333332,0.0,11020.333333333332,0.9268501574490244,1.5083949265443926,availability_unknown
2024-10-04,SAKNW,SAKNW,,,,unmapped,1,12,0,10.633333333333333,193.86666666666665,0.0,193.86666666666665,204.5,0.0,204.5,0.01719919456746549,0.02799069258143991,availability_unknown
2024-10-04,DUNGW,DUNGW,,,,unmapped,1,5,0,12.6,156.8083333333333,0.0,156.8083333333333,169.40833333333333,0.0,169.40833333333333,0.014247857634963567,0.023187562733826078,availability_unknown
