settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,primary_dispatch_block_reason,dispatch_minus_lost_energy_gap_mwh
2024-10-01,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,27,27,3.1333333333333337,920.45,450.42600000000004,,470.024
2024-10-01,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,9,9,16.916666666666668,716.4166666666666,260.9634,,455.45326666666665
2024-10-01,T_RCBKO-1,RCBKO-1,humber_offshore,Humber Offshore,England/Wales,mapped,5,5,2.8166666666666664,568.5,128.715,,439.78499999999997
2024-10-01,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,10,10,30.900000000000002,719.9,289.9452500000001,,429.9547499999999
2024-10-01,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,31,31,6.783333333333333,1449.0,1072.9492434669799,,376.05075653302015
2024-10-01,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,24,24,4.15,732.3666666666667,401.23566666666665,,331.13100000000003
2024-10-01,T_RCBKO-2,RCBKO-2,humber_offshore,Humber Offshore,England/Wales,mapped,4,4,1.3333333333333333,420.75,158.098,,262.652
2024-10-01,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,25,25,10.233333333333333,1293.7749999999999,1040.3254666666667,,253.4495333333332
2024-10-01,T_GNFSW-1,GNFSW-1,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,5,5,2.8166666666666664,173.93333333333334,37.86000000000001,,136.07333333333332
2024-10-01,T_GNFSW-2,GNFSW-2,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,4,4,1.6,83.58333333333333,22.357200000000002,,61.22613333333332
2024-10-01,T_CLDNW-1,CLDNW-1,,,Scotland,region_only,2,2,3.5166666666666666,3.5166666666666666,61.99809999999998,,-58.481433333333314
2024-10-01,T_CLDCW-1,CLDCW-1,,,Scotland,region_only,2,2,1.4166666666666665,1.4166666666666665,64.12079999999999,,-62.704133333333324
2024-10-01,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,4,4,3.316666666666667,32.06666666666666,153.32399999999996,,-121.25733333333329
2024-10-02,T_SHRSW-1,SHRSO-1,,,,unmapped,4,3,5.8999999999999995,207.96666666666667,10.176000000000002,physical_below_generation,197.79066666666665
