path,artifact_family,artifact_kind,action,authority_state,replacement_path,archive_destination,git_tracked_expected,reason,notes
benchmark_window_scout_dec_2024,scout_output,single_window_scout,delete,disposable_local_screen,model_readiness_reviewed_bundle_batch_authoritative_rerun,,true,scout output is superseded by batch scout rollup,one off December scout
benchmark_window_scouts,scout_output,scout_batch,delete,disposable_local_screen,model_readiness_reviewed_bundle_batch_authoritative_rerun,,true,scout outputs are superseded by batch scout rollup,multi window scout cache
curtailment_opportunity_boundary_2024-10-01_2024-10-07,opportunity_bundle,boundary_experiment,archive,superseded_experiment,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,_local_archive/generated_outputs/curtailment_opportunity_boundary_2024-10-01_2024-10-07,true,boundary experiment is superseded by authoritative October rerun,October boundary branch
curtailment_opportunity_boundary_test,opportunity_bundle,boundary_test,delete,disposable_test_output,,,true,test artifact is disposable,boundary test fixture output
curtailment_opportunity_internal_reviewed_2024-10-01_2024-10-07,opportunity_bundle,internal_reviewed_experiment,archive,superseded_experiment,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,_local_archive/generated_outputs/curtailment_opportunity_internal_reviewed_2024-10-01_2024-10-07,true,internal reviewed experiment is superseded by authoritative October rerun,October internal reviewed branch
curtailment_opportunity_live_2024-10-01_2024-10-07,opportunity_bundle,live_experiment,archive,superseded_experiment,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,_local_archive/generated_outputs/curtailment_opportunity_live_2024-10-01_2024-10-07,true,live variant is superseded by authoritative October rerun,October broad live branch
curtailment_opportunity_live_2024-10-14_2024-10-16,opportunity_bundle,live_experiment,archive,superseded_experiment,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,_local_archive/generated_outputs/curtailment_opportunity_live_2024-10-14_2024-10-16,true,live variant is superseded by reviewed bundle,October post target broad live
curtailment_opportunity_live_2024-11-15_2024-11-17,opportunity_bundle,live_experiment,archive,superseded_experiment,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,_local_archive/generated_outputs/curtailment_opportunity_live_2024-11-15_2024-11-17,true,live variant is superseded by reviewed bundle,November broad live
curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,opportunity_bundle,reviewed_bundle,archive,superseded_bundle,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,_local_archive/generated_outputs/curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,true,base October bundle is superseded by authoritative rerun,keep rerun not base
curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,opportunity_bundle,reviewed_bundle,keep,authoritative_bundle,,,true,current authoritative reviewed bundle,later guardrail window
