date,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,system_balance_source_provider,system_balance_source_family,system_balance_source_key,system_balance_source_dataset_keys,system_balance_source_published_utc,system_balance_feed_available_flag,system_balance_known_flag,system_balance_active_flag,system_balance_state,system_balance_imbalance_mw,system_balance_indicated_demand_mw,system_balance_indicated_generation_mw,system_balance_indicated_margin_mw,system_balance_demand_minus_generation_mw,system_balance_margin_ratio,system_balance_imbalance_direction_bucket,system_balance_margin_direction_bucket,source_lineage
2024-11-22,2024-11-22 00:00:00+00:00,2024-11-22 01:00:00+00:00,2024-11-22 00:00:00+00:00,2024-11-22 01:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 00:16:00+00:00,True,False,True,moderate_imbalance,-570.0,-17353.0,28884.0,34601.0,-46237.0,1.9939491730536507,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 01:00:00+00:00,2024-11-22 02:00:00+00:00,2024-11-22 01:00:00+00:00,2024-11-22 02:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 01:16:00+00:00,True,False,True,moderate_imbalance,-831.0,-17181.5,28605.0,34894.0,-45786.5,2.030905334225766,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 02:00:00+00:00,2024-11-22 03:00:00+00:00,2024-11-22 02:00:00+00:00,2024-11-22 03:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 02:16:00+00:00,True,False,True,moderate_imbalance,-621.5,-17076.5,27747.5,36266.0,-44824.0,2.123737299797968,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 03:00:00+00:00,2024-11-22 04:00:00+00:00,2024-11-22 03:00:00+00:00,2024-11-22 04:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 03:16:00+00:00,True,False,True,moderate_imbalance,-423.5,-17346.0,27671.5,37639.5,-45017.5,2.1699239017640957,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 04:00:00+00:00,2024-11-22 05:00:00+00:00,2024-11-22 04:00:00+00:00,2024-11-22 05:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 04:16:00+00:00,True,False,True,balanced_or_loose,-142.5,-17023.5,27622.0,37823.0,-44645.5,2.2218110259347372,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 05:00:00+00:00,2024-11-22 06:00:00+00:00,2024-11-22 05:00:00+00:00,2024-11-22 06:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 05:16:00+00:00,True,False,True,moderate_imbalance,-607.0,-17690.0,28238.0,34613.5,-45928.0,1.9566704352741662,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 06:00:00+00:00,2024-11-22 07:00:00+00:00,2024-11-22 06:00:00+00:00,2024-11-22 07:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 06:16:00+00:00,True,False,True,moderate_imbalance,590.0,-20681.5,34058.0,28051.0,-54739.5,1.3563329545729275,imbalance_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 07:00:00+00:00,2024-11-22 08:00:00+00:00,2024-11-22 07:00:00+00:00,2024-11-22 08:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 07:16:00+00:00,True,False,True,active_imbalance,1742.0,-22906.0,40090.5,25202.5,-62996.5,1.100257574434646,imbalance_strong_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 08:00:00+00:00,2024-11-22 09:00:00+00:00,2024-11-22 08:00:00+00:00,2024-11-22 09:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 08:16:00+00:00,True,False,True,balanced_or_loose,-10.0,-24308.0,40828.0,24452.5,-65136.0,1.0059445450057594,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-11-22,2024-11-22 09:00:00+00:00,2024-11-22 10:00:00+00:00,2024-11-22 09:00:00+00:00,2024-11-22 10:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-11-22 09:16:00+00:00,True,False,True,balanced_or_loose,-246.0,-24514.5,40544.0,25959.5,-65058.5,1.0589447061942932,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
