date,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,system_balance_source_provider,system_balance_source_family,system_balance_source_key,system_balance_source_dataset_keys,system_balance_source_published_utc,system_balance_feed_available_flag,system_balance_known_flag,system_balance_active_flag,system_balance_state,system_balance_imbalance_mw,system_balance_indicated_demand_mw,system_balance_indicated_generation_mw,system_balance_indicated_margin_mw,system_balance_demand_minus_generation_mw,system_balance_margin_ratio,system_balance_imbalance_direction_bucket,system_balance_margin_direction_bucket,source_lineage
2024-10-01,2024-10-01 00:00:00+01:00,2024-10-01 01:00:00+01:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-09-30 23:15:00+00:00,True,False,True,moderate_imbalance,-695.0,-14119.0,21961.0,35834.0,-36080.0,2.5379984418159927,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 01:00:00+01:00,2024-10-01 02:00:00+01:00,2024-10-01 00:00:00+00:00,2024-10-01 01:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 00:17:00+00:00,True,False,True,moderate_imbalance,-994.0,-14621.0,21670.0,35559.0,-36291.0,2.4320497913959374,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 02:00:00+01:00,2024-10-01 03:00:00+01:00,2024-10-01 01:00:00+00:00,2024-10-01 02:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 01:16:00+00:00,True,False,True,moderate_imbalance,-692.5,-14418.0,21435.5,35938.5,-35853.5,2.4926133999167708,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 03:00:00+01:00,2024-10-01 04:00:00+01:00,2024-10-01 02:00:00+00:00,2024-10-01 03:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 02:16:00+00:00,True,False,True,balanced_or_loose,-76.5,-14338.0,21298.5,36585.0,-35636.5,2.5516111033616964,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 04:00:00+01:00,2024-10-01 05:00:00+01:00,2024-10-01 03:00:00+00:00,2024-10-01 04:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 03:16:00+00:00,True,False,True,moderate_imbalance,335.5,-14385.0,21752.5,36706.0,-36137.5,2.551685783802572,imbalance_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 05:00:00+01:00,2024-10-01 06:00:00+01:00,2024-10-01 04:00:00+00:00,2024-10-01 05:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 04:16:00+00:00,True,False,True,active_imbalance,-1476.5,-14852.0,22169.5,34369.0,-37021.5,2.3140991112308105,imbalance_strong_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 06:00:00+01:00,2024-10-01 07:00:00+01:00,2024-10-01 05:00:00+00:00,2024-10-01 06:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 05:16:00+00:00,True,False,True,moderate_imbalance,-996.5,-16203.0,25288.0,31178.0,-41491.0,1.9242115657594272,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 07:00:00+01:00,2024-10-01 08:00:00+01:00,2024-10-01 06:00:00+00:00,2024-10-01 07:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 06:16:00+00:00,True,False,True,active_imbalance,-1380.0,-18683.0,28986.0,27120.0,-47669.0,1.451587004228443,imbalance_strong_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 08:00:00+01:00,2024-10-01 09:00:00+01:00,2024-10-01 07:00:00+00:00,2024-10-01 08:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 07:16:00+00:00,True,False,True,active_imbalance,-1072.0,-19776.5,31592.0,25946.0,-51368.5,1.3119611660303896,imbalance_strong_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-10-01,2024-10-01 09:00:00+01:00,2024-10-01 10:00:00+01:00,2024-10-01 08:00:00+00:00,2024-10-01 09:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-10-01 08:16:00+00:00,True,False,True,moderate_imbalance,-939.0,-20130.5,31737.5,25762.0,-51868.0,1.279749633640496,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
