model_key,forecast_horizon_hours,forecast_horizon_label,slice_dimension,slice_value,error_focus_area,error_reduction_priority_rank,window_start_utc,window_end_utc,row_count,eligible_row_count,prediction_eligibility_rate,actual_opportunity_deliverable_mean_mwh,predicted_opportunity_deliverable_mean_mwh,mae_opportunity_deliverable_mwh,bias_opportunity_deliverable_mwh,actual_opportunity_gross_value_mean_eur,predicted_opportunity_gross_value_mean_eur,mae_opportunity_gross_value_eur,bias_opportunity_gross_value_eur,source_lineage
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,all,all,general,,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,360,355,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,cluster_key,dogger_hornsea_offshore,general,,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,72,71,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,cluster_key,east_anglia_offshore,general,,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,72,71,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,cluster_key,east_coast_scotland_offshore,general,,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,72,71,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,cluster_key,humber_offshore,general,,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,72,71,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,cluster_key,moray_firth_offshore,general,,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,72,71,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,connector_notice_market_state,no_public_connector_restriction,general,,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,360,355,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,curtailment_source_tier,regional_proxy,general,,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,360,355,0.9861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,feature_hour_of_day,0,general,,2024-11-15 00:00:00+00:00,2024-11-17 01:00:00+00:00,15,10,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_gb_nl_reviewed_specialist_v3,1,t_plus_1h,feature_hour_of_day,1,general,,2024-11-15 01:00:00+00:00,2024-11-17 02:00:00+00:00,15,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
