display_order,benchmark_window_key,benchmark_window_label,benchmark_window_start_date,benchmark_window_end_date,opportunity_input_path,window_date,model_key,overall_t_plus_1h_deliverable_mae_mwh,overall_t_plus_6h_deliverable_mae_mwh,gb_nl_t_plus_1h_deliverable_mae_mwh,proxy_internal_transfer_share_t_plus_1h,reviewed_internal_transfer_share_t_plus_1h,capacity_unknown_route_share_t_plus_1h,route_warn_count_t_plus_1h,cluster_warn_count_t_plus_1h,severe_unresolved_focus_area_count_t_plus_1h,model_ready_flag,model_readiness_state,blocking_reasons,source_lineage
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01 00:00:00+00:00,opportunity_potential_ratio_v2,1.76397768545246,0.8091319855450545,5.879925618174867,0.5260869565217391,0.47391304347826085,0.0,2,6,0,False,not_ready,overall_t_plus_1h_mae_above_target;gb_nl_t_plus_1h_mae_above_target;proxy_internal_transfer_share_too_high;route_drift_warn;cluster_drift_warn,fact_backtest_prediction_hourly|fact_drift_window
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-02 00:00:00+00:00,opportunity_potential_ratio_v2,5.6585183859224255,2.3948890744023066,18.048119093583644,0.81875,0.18125,0.004166666666666667,2,5,0,False,not_ready,overall_t_plus_1h_mae_above_target;gb_nl_t_plus_1h_mae_above_target;proxy_internal_transfer_share_too_high;route_drift_warn;cluster_drift_warn,fact_backtest_prediction_hourly|fact_drift_window
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-03 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.725,0.275,0.0,1,5,0,False,not_ready,proxy_internal_transfer_share_too_high;route_drift_warn;cluster_drift_warn,fact_backtest_prediction_hourly|fact_drift_window
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-04 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.33125,0.66875,0.004166666666666667,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-05 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.3958333333333333,0.6041666666666666,0.0,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-06 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.5291666666666667,0.4708333333333333,0.0,0,0,0,False,not_ready,proxy_internal_transfer_share_too_high,fact_backtest_prediction_hourly|fact_drift_window
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-07 00:00:00+00:00,opportunity_potential_ratio_v2,1.501048487982864,0.6844045859482475,5.003494959942879,0.5478260869565217,0.45217391304347826,0.0,1,5,0,False,not_ready,overall_t_plus_1h_mae_above_target;gb_nl_t_plus_1h_mae_above_target;proxy_internal_transfer_share_too_high;route_drift_warn;cluster_drift_warn,fact_backtest_prediction_hourly|fact_drift_window
2,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-14,2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-14 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.0,2,6,0,False,not_ready,route_drift_warn;cluster_drift_warn,fact_backtest_prediction_hourly|fact_drift_window
2,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-14,2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-15 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.0,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
2,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-14,2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-16 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.0,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
