model_key,forecast_horizon_hours,forecast_horizon_label,slice_dimension,slice_value,error_focus_area,error_reduction_priority_rank,window_start_utc,window_end_utc,row_count,eligible_row_count,prediction_eligibility_rate,actual_opportunity_deliverable_mean_mwh,predicted_opportunity_deliverable_mean_mwh,mae_opportunity_deliverable_mwh,bias_opportunity_deliverable_mwh,actual_opportunity_gross_value_mean_eur,predicted_opportunity_gross_value_mean_eur,mae_opportunity_gross_value_eur,bias_opportunity_gross_value_eur,source_lineage
opportunity_potential_ratio_v2,1,t_plus_1h,all,all,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,1440,1400,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,cluster_key,dogger_hornsea_offshore,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,216,210,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,cluster_key,east_anglia_offshore,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,288,280,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,cluster_key,east_coast_scotland_offshore,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,216,210,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,cluster_key,humber_offshore,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,216,210,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,cluster_key,moray_firth_offshore,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,288,280,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,cluster_key,shetland_wind,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,216,210,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,connector_notice_market_state,no_public_connector_restriction,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,1296,1260,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,connector_notice_market_state,tight_now_without_public_notice,connector_restriction_state,16.0,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,144,140,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,curtailment_source_tier,regional_proxy,general,,2024-10-13 23:00:00+00:00,2024-10-16 23:00:00+00:00,1440,1400,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,0,general,,2024-10-14 00:00:00+00:00,2024-10-16 01:00:00+00:00,60,40,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,1,general,,2024-10-14 01:00:00+00:00,2024-10-16 02:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,2,general,,2024-10-14 02:00:00+00:00,2024-10-16 03:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,3,general,,2024-10-14 03:00:00+00:00,2024-10-16 04:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,4,general,,2024-10-14 04:00:00+00:00,2024-10-16 05:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,5,general,,2024-10-14 05:00:00+00:00,2024-10-16 06:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,6,general,,2024-10-14 06:00:00+00:00,2024-10-16 07:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,7,general,,2024-10-14 07:00:00+00:00,2024-10-16 08:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,8,general,,2024-10-14 08:00:00+00:00,2024-10-16 09:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,9,general,,2024-10-14 09:00:00+00:00,2024-10-16 10:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
opportunity_potential_ratio_v2,1,t_plus_1h,feature_hour_of_day,10,general,,2024-10-14 10:00:00+00:00,2024-10-16 11:00:00+00:00,60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fact_backtest_prediction_hourly
